2023-07-28 16:15:35,373 DEBUG server.py Calling function arg_parser; Parameters: ('7777', ''), ; Module: __main__; Call from function main()
2023-07-28 16:18:04,840 DEBUG server.py Calling function arg_parser; Parameters: ('7777', ''), ; Module: __main__; Call from function main()
2023-07-28 16:23:06,109 DEBUG server.py Calling function arg_parser; Parameters: ('7777', ''), ; Module: __main__; Call from function main()
2023-07-28 16:23:06,158 DEBUG descriptiors.py Calling function check_port; Parameters: (7777,), ; Module: commons.utils; Call from function main()
2023-07-28 16:24:05,067 DEBUG server.py Calling function arg_parser; Parameters: ('7777', ''), ; Module: __main__; Call from function main()
2023-07-28 16:24:05,114 DEBUG descriptiors.py Calling function check_port; Parameters: (7777,), ; Module: commons.utils; Call from function main()
2023-07-28 16:24:15,725 DEBUG server.py Calling function arg_parser; Parameters: ('7777', ''), ; Module: __main__; Call from function main()
2023-07-28 16:24:15,754 DEBUG descriptiors.py Calling function check_port; Parameters: (7777,), ; Module: commons.utils; Call from function main()
2023-07-28 16:25:49,111 DEBUG server.py Calling function arg_parser; Parameters: ('7777', ''), ; Module: __main__; Call from function main()
2023-07-28 16:25:49,136 DEBUG descriptiors.py Calling function check_port; Parameters: (7777,), ; Module: commons.utils; Call from function main()
2023-07-28 16:28:29,647 DEBUG server.py Calling function arg_parser; Parameters: ('7777', ''), ; Module: __main__; Call from function main()
2023-07-28 16:28:29,672 DEBUG descriptiors.py Calling function check_port; Parameters: (7777,), ; Module: commons.utils; Call from function main()
2023-07-28 16:29:00,286 DEBUG server.py Calling function arg_parser; Parameters: ('7777', ''), ; Module: __main__; Call from function main()
2023-07-28 16:29:00,320 DEBUG descriptiors.py Calling function check_port; Parameters: (7777,), ; Module: commons.utils; Call from function main()
2023-07-28 16:29:11,525 DEBUG server.py Calling function arg_parser; Parameters: ('7777', ''), ; Module: __main__; Call from function main()
2023-07-28 16:29:11,558 DEBUG descriptiors.py Calling function check_port; Parameters: (7777,), ; Module: commons.utils; Call from function main()
2023-07-28 16:33:21,813 DEBUG server.py Calling function arg_parser; Parameters: ('7777', ''), ; Module: __main__; Call from function main()
2023-07-28 16:33:21,860 DEBUG descriptiors.py Calling function check_port; Parameters: (7777,), ; Module: commons.utils; Call from function main()
